"url","title","publisher","languages","formats","tracks","rights_statuses","http_status","reachable","final_url","content_type","last_modified","availability_class","verification_error","notes","source_files"
"https://4713562.fs1.hubspotusercontent-na1.net/hubfs/4713562/Teacher%20Portal/Navigating%20Palestines%20struggle%20through%20faith/Lesson%20plan.pdf","Navigating Palestine’s Struggle Through Faith—Lesson Plan","","unspecified","course","foundations","unknown-review-required","200","true","https://4713562.fs1.hubspotusercontent-na1.net/hubfs/4713562/Teacher%20Portal/Navigating%20Palestines%20struggle%20through%20faith/Lesson%20plan.pdf","application/pdf","Tue, 07 Nov 2023 13:18:48 GMT","reachable","","","agents/muslingo-islamic-studies-curricula-research.md"
"https://about.duolingo.com/","company/product overview","","ar","course","arabic; pedagogy; quran","unknown-review-required","200","true","https://about.duolingo.com/","text/html","Fri, 28 Aug 2026 18:43:00 GMT","reachable","","","agents/muslingo_quranic_arabic_course_research_2026-09-10.md"
"https://academy.arabic101.org/course-2-quran-mastery","Quran Mastery","Arabic 101 Academy","ar; en","course; video","arabic; pedagogy; quran","restricted-or-permission-required","200","true","https://academy.arabic101.org/course-2-quran-mastery/","text/html; charset=UTF-8","","reachable","","Five published levels; 52/60/70/50/70 lesson blocks; prerequisites, outcomes and teacher correction; Rights/reuse note: Copyrighted proprietary material; permission required for reproduction, translation or adaptation; Source format: Teacher platform / structured audiovisual course","agents/muslingo-competitive-pedagogy-2026-09-10.md; agents/muslingo_quranic_arabic_course_research_2026-09-10.md; agents/video-audio-content-analysis-2026-09-11.md; agents/video-audio-source-expansion-2026-09-11.csv"
"https://academy.arabic101.org/course-3-how-to-understand-the-quran-in-arabic","Understand the Quran in Arabic","Arabic 101 Academy","ar; en","course; video","arabic; pedagogy; quran","terms-review-required","200","true","https://academy.arabic101.org/course-3-how-to-understand-the-quran-in-arabic/","text/html; charset=UTF-8","","reachable","","Rights/reuse note: Proprietary; workbook and course adaptation require written permission; Source format: Structured audiovisual course; Three stages targeting 50%, 65% and 85% frequency coverage; 25 lessons/13 hours in stage 1","agents/muslingo-competitive-pedagogy-2026-09-10.md; agents/video-audio-content-analysis-2026-09-11.md; agents/video-audio-source-expansion-2026-09-11.csv"
"https://academy.arabic101.org/courses","course catalogue","Arabic101","ar","course; video","arabic; pedagogy; quran","reference-or-link-only","200","true","https://academy.arabic101.org/courses/","text/html; charset=UTF-8","","reachable","","Free to view; Rights/reuse note: https://store.arabic101.org/85landing/; Self-study free; guided USD 40-60/month; live from USD 9/hour; ebook EUR 0-7.99; Source category: Official playlist; Source category: Quranic Arabic; Source format: Website app books video and live classes; Source format: YouTube playlist","agents/muslingo-competitive-pedagogy-2026-09-10.md; agents/muslingo_course_source_table_2026-09-10.csv; agents/muslingo_quranic_arabic_course_research_2026-09-10.md; agents/product-benchmark-gap-analysis-2026-09-11.md; agents/video-audio-content-analysis-2026-09-11.md"
"https://academy.arabic101.org/courses/arabic-vowels-system","Arabic Vowels System","","ar","course","arabic; pedagogy","unknown-review-required","200","true","https://academy.arabic101.org/courses/arabic-vowels-system/","text/html; charset=UTF-8","","reachable","","","agents/muslingo-competitive-pedagogy-2026-09-10.md"
"https://academy.arabic101.org/courses/how-to-read-arabic-basics","How to Read Arabic Basics","","ar","course","arabic; pedagogy","unknown-review-required","200","true","https://academy.arabic101.org/courses/how-to-read-arabic-basics/","text/html; charset=UTF-8","","reachable","","","agents/muslingo-competitive-pedagogy-2026-09-10.md"
"https://academy.arabic101.org/courses/msa-arabic-course","MSA Arabic Course","","ar","course","arabic; pedagogy","unknown-review-required","","false","https://academy.arabic101.org/courses/msa-arabic-course","","","timeout","timeout","","agents/muslingo-competitive-pedagogy-2026-09-10.md"
"https://academy.arabic101.org/courses/understand-the-holy-quran?current_page=2","Understand the Holy Quran","","unspecified","course","pedagogy; quran","unknown-review-required","200","true","https://academy.arabic101.org/courses/understand-the-holy-quran/?current_page=2","text/html; charset=UTF-8","","reachable","","","agents/muslingo-competitive-pedagogy-2026-09-10.md"
"https://academy.arabic101.org/guided-learning","Guided Learning","","ar","course","arabic; pedagogy; quran","unknown-review-required","200","true","https://academy.arabic101.org/guided-learning/","text/html; charset=UTF-8","","reachable","","","agents/muslingo-competitive-pedagogy-2026-09-10.md; agents/muslingo_quranic_arabic_course_research_2026-09-10.md"
"https://academy.arabic101.org/tiersplans3","Free courses and guided/live academy","Arabic101","ar","course; video","arabic; pedagogy; quran","reference-or-link-only","200","true","https://academy.arabic101.org/tiersplans3/","text/html; charset=UTF-8","","reachable","","Rights/reuse note: https://store.arabic101.org/85landing/; Self-study free; guided USD 40-60/month; live from USD 9/hour; ebook EUR 0-7.99; Source category: Quranic Arabic; Source format: Website app books video and live classes","agents/muslingo_course_source_table_2026-09-10.csv; agents/muslingo_quranic_arabic_course_research_2026-09-10.md; agents/product-benchmark-gap-analysis-2026-09-11.md"
"https://academy.rabata.org/","program and curriculum catalogue","Ribaat Academic Institute","ar; en","course","arabic; foundations; quran","unknown-review-required","200","true","https://ribat.rabata.org/riverstead/","text/html; charset=UTF-8","","reachable","","Materials are intellectual property and cannot be repurposed without written consent; Rights/reuse note: Materials are intellectual property and cannot be repurposed without written consent; Source format: Academic institute","agents/foundations-curriculum-gap-analysis-2026-09-11.md; agents/islamic-curricula-expansion-2026-09-11.csv"
"https://academy.seekersguidance.org/","Islamic Studies and Youth curricula","SeekersGuidance","ar; en","course","arabic; foundations; quran","restricted-or-permission-required","403","false","https://academy.seekersguidance.org/","text/html; charset=UTF-8","","access-controlled-or-bot-protected","","Free access only; copyrighted; permission required for reuse; Free to study; no republication or adaptation right; Free to study; site content remains copyrighted and not open for republishing; Rights/reuse note: Free access only; copyrighted; permission required for reuse; Rights/reuse note: Free to study; no republication or adaptation right; Rights/reuse note: Free to study; site content remains copyrighted and not open for republishing; Source format: Online academy","agents/foundations-curriculum-gap-analysis-2026-09-11.md; agents/islamic-curricula-expansion-2026-09-11.csv; agents/muslingo-islamic-studies-curricula-research.md"
